Ticker,Company Name,Sector,Buffett Score,ROIC,Current Price,ROE,Debt to Equity,Years to Pay Off Debt,EPS CAGR (Historical),FCF CAGR (Historical),Latest FCF,Shares Outstanding,Market Cap,Gross Margin,Net Margin,Industry,Edgar Fetched
DECK,Deckers Outdoor Corporation,Consumer Cyclical,7,1.0755149243639013,108.52999877929688,0.3844353371828956,0.11021630210428676,0.28669659483423404,0.32431191098747947,0.9914915128868325,958352000.0,141949971,15405830144,0.57545,0.19348,Footwear & Accessories,True
INCY,Incyte Corporation,Healthcare,7,0.6106551227627589,94.6500015258789,0.24898993280668055,0.007820449356533303,0.0314086970038472,0.6270391181055106,0.1422764750896166,1329631000.0,199014486,18836721664,0.52884996,0.25026,Biotechnology,True
ABNB,"Airbnb, Inc.",Consumer Cyclical,7,0.5494698737850432,142.82000732421875,0.3062568605927552,0.25210391511159896,0.8231780167264038,0.11346303157849302,0.10644125808046745,4646000000.0,423573275,85622595584,0.82959,0.20513001,Travel Services,True
IBKR,"Interactive Brokers Group, Inc.",Financial Services,7,0.528715828964514,76.62000274658203,0.18347939586052583,0.0035427932127540555,0.019308943089430895,0.33134624643458177,0.5924065256034745,15744000000.0,445616477,34143164416,0.93017995,0.16106,Capital Markets,True
LULU,lululemon athletica inc.,Consumer Cyclical,7,0.3147912305181752,143.8000030517578,0.3182656030827274,0.3624544523805685,1.138842680044048,0.2558334310354895,0.41141145031074133,921675000.0,110482671,16869339136,0.56601,0.14224,Apparel Retail,True
ANET,"Arista Networks, Inc.",Technology,7,0.30488116169734253,176.91000366210938,0.28385271411826524,0.003553938806030476,0.012520362248675742,0.3627259779307541,1.1170482953420318,4252400000.0,1259169438,222759665664,0.64056,0.38991,Computer Hardware,True
FFIV,"F5, Inc.",Technology,7,0.2701323559668655,303.1600036621094,0.19275617838423675,0.07288170180448268,0.3781030647910107,0.30836818249939757,0.3037590726003483,906406000.0,56519273,17134383104,0.81385005,0.22455,Software - Infrastructure,True
CBOE,"Cboe Global Markets, Inc.",Financial Services,7,0.25190533834232826,303.80999755859375,0.2140785863028628,0.3095770974836035,1.446090909090909,0.13665992642801528,0.41678822872499066,1681600000.0,104742273,31821750272,0.51527,0.23334,Financial Data & Stock Exchanges,True
GRMN,Garmin Ltd.,Technology,7,0.2259197901841425,259.3900146484375,0.18544164187627973,0.018371002981979287,0.09906622264612922,0.19569899314697903,0.35819959503378507,1362913000.0,192883365,50032017408,0.58744,0.22964,Scientific & Technical Instruments,True
CPRT,"Copart, Inc.",Industrials,7,0.21221662994410562,33.06999969482422,0.16898263019192378,0.01129189369407947,0.06682280706161683,0.11950076307899637,0.13613497248033846,1230760000.0,963308388,31856609280,0.47344002,0.33758,Specialty Business Services,True
INTU,Intuit Inc.,Technology,7,0.17330884182914527,395.95001220703125,0.1962962962962963,0.33683409436834094,1.7159472731972085,0.23258598997377322,0.18452867080433455,6083000000.0,276550000,110182629376,0.80896,0.2157,Software - Application,True
LRCX,Lam Research Corporation,Technology,6,0.6936712183524332,267.7799987792969,0.5433405001754783,0.45474328302482586,0.8369397879929088,0.08199538770459891,0.28466022703325766,5414078000.0,1250571000,334877917184,0.49979,0.30938998,Semiconductor Equipment & Materials,True
ADBE,Adobe Inc.,Technology,6,0.5720171357397987,245.44000244140625,0.6134388712036479,0.5719693710745934,0.932398316970547,0.18203090567988722,0.10029506958590018,9852000000.0,404200000,99206848512,0.89396006,0.29477,Software - Application,True
FIX,"Comfort Systems USA, Inc.",Industrials,6,0.5271556801100732,1726.1199951171875,0.4175795724717757,0.1973877540352846,0.4726949473770681,0.6172014075037591,0.5971458976318065,1031453000.0,35202424,60763607040,0.24125999,0.112349994,Engineering & Construction,True
IDXX,"IDEXX Laboratories, Inc.",Healthcare,6,0.45413519736696983,565.9299926757812,0.6599446985547996,0.6079932327675078,0.9212790618652451,0.1749243789608772,0.39532809418299686,1043579000.0,79424539,45061627904,0.61797,0.24618,Diagnostics & Research,True
EME,"EMCOR Group, Inc.",Industrials,6,0.45182397066265684,869.9000244140625,0.34644431161716127,0.12744042914099943,0.3678525663940692,0.5155326485369605,0.38398516207054656,1189313000.0,44440278,38738882560,0.19327,0.07493,Engineering & Construction,True
ADP,"Automatic Data Processing, Inc.",Technology,6,0.3720907549247871,196.52999877929688,0.6592921784098255,1.4649967679379443,2.222075152584749,0.124859690694479,0.19936681717146265,4392700000.0,402644364,79131697152,0.48351002,0.19964,Software - Application,True
COST,Costco Wholesale Corporation,Consumer Defensive,6,0.3544310314448623,1011.1500244140625,0.27770539020710466,0.2802427650528048,1.009136930485245,0.11467010327399718,0.3081350392193374,7837000000.0,443652540,448599293952,0.12926,0.029860001,Discount Stores,True
FAST,Fastenal Company,Industrials,6,0.30742430640692653,44.689998626708984,0.3190993001318592,0.11205497514960949,0.3511602034329307,0.05193028569008362,0.11047708391906275,1050600000.0,1148035061,51305684992,0.44893003,0.15392,Industrial Distribution,True
ERIE,Erie Indemnity Company,Financial Services,6,0.3029314858654256,233.6199951171875,0.24495987078770276,0.0,0.0,0.26286709581142764,0.24071284428201345,570965000.0,46189068,12215958528,0.17913,0.13971,Insurance Brokers,True
GOOGL,Alphabet Inc.,Communication Services,6,0.2991620465631596,344.3999938964844,0.3182786895115167,0.14277870757227312,0.448596504501778,0.3345576988820247,0.06879140249222915,73266000000.0,5822000000,4166206881792,0.59652,0.32810003,Internet Content & Information,True
GOOG,Alphabet Inc.,Communication Services,6,0.2991620465631596,342.32000732421875,0.3182786895115167,0.14277870757227312,0.448596504501778,0.3345576988820247,0.06879140249222915,73266000000.0,5438000000,4141045252096,0.59652,0.32810003,Internet Content & Information,True
AOS,A.O. Smith Corporation,Industrials,6,0.2967111457536404,64.37999725341797,0.29397201291711517,0.10339074273412271,0.35170267301354813,0.35398662375362533,0.19357792785343153,546000000.0,112376652,8899878912,0.38833,0.1426,Specialty Industrial Machinery,True
CTAS,Cintas Corporation,Industrials,6,0.2675917172212194,175.89999389648438,0.3868691110071745,0.566654235549253,1.4647182197462756,0.14556723410783046,0.10649869159817582,1757021000.0,400087119,70375317504,0.50361997,0.17568001,Specialty Business Services,True
DXCM,"DexCom, Inc.",Healthcare,6,0.2642514833526683,61.56999969482422,0.3045520757465404,0.506081573197378,1.661724261628602,0.3447566493703871,0.5233789965598488,1077200000.0,385872977,23758200832,0.60101,0.17939,Medical Devices,True
CDNS,"Cadence Design Systems, Inc.",Technology,6,0.23456929545765667,332.8900146484375,0.20256692279630506,0.477959899389516,2.35951601965212,0.0932672121067819,0.12394502316903888,1586910000.0,276092068,91908292608,0.86364,0.20934999,Software - Application,True
AVGO,Broadcom Inc.,Technology,6,0.20262624198718288,422.760009765625,0.2844806377011268,0.8012596565467697,2.816570094266194,0.2140385062751604,0.1816540426343054,26914000000.0,4734668184,2001628430336,0.76725996,0.36571997,Semiconductors,True
EA,Electronic Arts Inc.,Communication Services,6,0.18731005601046158,202.6699981689453,0.17554024428437207,0.305512057626057,1.7404103479036575,0.15469244519371217,0.027855111686507783,1858000000.0,250253713,50718920704,0.78264,0.09307,Electronic Gaming & Multimedia,True
HIG,"The Hartford Insurance Group, I",Financial Services,6,0.17213122230414327,134.4499969482422,0.2021181305653617,0.2303071816217925,1.139468196037539,0.33382529603296307,0.1449464764948376,5753000000.0,274130820,36856889344,0.38172,0.14109,Insurance - Diversified,True
ACGL,Arch Capital Group Ltd.,Financial Services,6,0.16746623692455656,96.19000244140625,0.1817318020325539,0.11274064281583078,0.6203682655148898,0.44757157266370573,0.17619541011278583,6128000000.0,356272841,34269884416,0.37162,0.22073,Insurance - Diversified,True
